spotId,spotName,waterBodyType,state,district,latitude,longitude,fisheryStatus,evidence,sourceOrganization,fisherySource,coordinateSource,coordinateConfidence,fishingPotential,fishingPotentialBasis,evidenceClass,operationalDiscoveryEligible,operationalUseNote
inland_bihar_002,Nagi Reservoir,reservoir,Bihar,Jamui,24.75,86.35,documented_reservoir_fisheries_resource,Bihar Fisheries Directorate lists Nagi among Jamui reservoirs; the state reservoir policy identifies reservoirs as fisheries-development resources.,"Government of Bihar, Directorate of Fisheries",Bihar Directorate reservoir list; Bihar State Reservoir Fisheries Policy 2022,representative reservoir geospatial anchor; verify exact operational point,medium,,,documented_fisheries_resource,False,Not used for precise nearby-destination recommendations until coordinate is independently verified.
inland_bihar_003,Nakti Reservoir,reservoir,Bihar,Jamui,24.76,86.31,documented_reservoir_fisheries_resource,Bihar Fisheries Directorate lists Nakti among Jamui reservoirs; the state reservoir policy identifies reservoirs as fisheries-development resources.,"Government of Bihar, Directorate of Fisheries",Bihar Directorate reservoir list; Bihar State Reservoir Fisheries Policy 2022,representative reservoir geospatial anchor; verify exact operational point,medium,,,documented_fisheries_resource,False,Not used for precise nearby-destination recommendations until coordinate is independently verified.
inland_bihar_004,Chandan Reservoir,reservoir,Bihar,Banka,24.88,86.92,documented_reservoir_fisheries_resource,Bihar Fisheries Directorate lists Chandan among Banka reservoirs; the state reservoir policy identifies reservoirs as fisheries-development resources.,"Government of Bihar, Directorate of Fisheries",Bihar Directorate reservoir list; Bihar State Reservoir Fisheries Policy 2022,representative reservoir geospatial anchor; verify exact operational point,medium,,,documented_fisheries_resource,False,Not used for precise nearby-destination recommendations until coordinate is independently verified.
inland_bihar_005,Odhni Reservoir,reservoir,Bihar,Banka,24.83,87.03,documented_reservoir_fisheries_resource,Bihar Fisheries Directorate lists Odhni among Banka reservoirs; the state reservoir policy identifies reservoirs as fisheries-development resources.,"Government of Bihar, Directorate of Fisheries",Bihar Directorate reservoir list; Bihar State Reservoir Fisheries Policy 2022,representative reservoir geospatial anchor; verify exact operational point,medium,,,documented_fisheries_resource,False,Not used for precise nearby-destination recommendations until coordinate is independently verified.
inland_ap_001,Kolleru Lake,freshwater_lake,Andhra Pradesh,Eluru / Krishna,16.6333,81.2,documented_fishing_and_fisheries_activity,West Godavari government documents traditional-fisher licensing at Kolleru/Upputeru and fishing permits in the Kolleru Lake area; FAO documents Kolleru as a major freshwater fisheries resource.,Government of Andhra Pradesh; FAO,West Godavari Fisheries page; FAO Kolleru fisheries report,representative lake anchor from published geospatial references,high,,,documented_fishing_or_access_evidence,True,Evidence supports fishing/landing/licensing/rights activity and coordinate confidence is high; this still does not establish individual legal permission.
inland_ap_002,Nagarjuna Sagar Reservoir,reservoir,Andhra Pradesh,Palnadu,16.5745,79.312,documented_fish_culture_resource,Reservoir fisheries references list Nagarjuna Sagar as suitable for fish culture; APWRIMS identifies it as a major AP reservoir.,Andhra Pradesh Water Resources Information & Management System; TNAU fisheries reference,APWRIMS; reservoir fisheries reference,representative reservoir anchor from published geospatial references,high,,,documented_fisheries_resource,False,"Evidence supports a fisheries resource/development context, but not enough direct evidence for a precise fishing-destination recommendation."
inland_ap_003,Srisailam Reservoir,reservoir,Andhra Pradesh,Nandyal,16.073,78.868,documented_stocking_and_fishery_activity,Environmental assessment material documents regular stocking of Srisailam reservoir/backwaters with Indian major carps and fish captured from study sites; APWRIMS lists Srisailam as a major reservoir.,Government of Andhra Pradesh / Irrigation & CAD; APWRIMS,Srisailam environmental assessment; APWRIMS,representative reservoir anchor from published geospatial references,high,,,documented_fisheries_resource,False,"Evidence supports a fisheries resource/development context, but not enough direct evidence for a precise fishing-destination recommendation."
inland_ap_004,Somasila Reservoir,reservoir,Andhra Pradesh,Nellore,14.83,79.28,documented_fish_culture_resource,Reservoir fisheries reference lists Somasila among Andhra Pradesh reservoirs suitable for fish culture.,TNAU fisheries reference / Andhra Pradesh fisheries literature,Reservoir fisheries reference,representative reservoir anchor from published geospatial references,medium,,,documented_fisheries_resource,False,Not used for precise nearby-destination recommendations until coordinate is independently verified.
inland_goa_001,Salaulim Reservoir,reservoir,Goa,South Goa,15.0,74.15,documented_freshwater_fishery_resource,Goa Fisheries identifies Salaulim as a principal freshwater fishery reservoir and reports freshwater fishery resources.,"Government of Goa, Directorate of Fisheries",Goan Fish Trail / Fisheries Department,representative reservoir anchor from published geospatial references,medium,,,documented_fisheries_resource,False,Not used for precise nearby-destination recommendations until coordinate is independently verified.
inland_goa_002,Anjunem Dam Reservoir,reservoir,Goa,North Goa,15.64,74.13,documented_freshwater_fishery_resource,Goa Fisheries identifies Anjunem Dam reservoir as a principal freshwater fishery resource in North Goa.,"Government of Goa, Directorate of Fisheries",Goan Fish Trail / Fisheries Department,representative reservoir anchor from published geospatial references,medium,,,documented_fisheries_resource,False,Not used for precise nearby-destination recommendations until coordinate is independently verified.
